time_range,top_genre,top_asset
00,"TV드라마, 예능, 교양/다큐멘터리, 멜로, 액션/어드벤쳐","해피엔드, 러브 포 세일, 초대: 스와핑 데이, 이장과 군수, 심야괴담회 60회"
01,"TV드라마, 예능, 교양/다큐멘터리, 액션/어드벤쳐, 드라마","해피엔드, 멍뭉이, 심야괴담회 87회, 짱구는 못말려: 동물소환 닌자..., 탈명검: 풍운재기"
02,"TV드라마, 예능, 교양/다큐멘터리, 멜로, 코미디","러브 포 세일, 연인 파트1 05회, 소방서 옆 경찰서 그리고 국과수 09회, 귀염뽕짝 원정대 04회, 과학수사대 스모킹 건 11회"
03,"TV드라마, 예능, 교양/다큐멘터리, 드라마, 멜로","그것이알고싶다 1369회, 연인 파트1 08회, 인간극장 3303회, 인간극장 3302회, 꼬리에꼬리를무는그날이야기 46회"
04,"TV드라마, 예능, 드라마, 멜로, 교양/다큐멘터리","러브 포 세일, 초대: 스와핑 데이, 해피엔드, 잠자는 숲속의 공주, 옹정황제의 여인 75회."
05,"TV드라마, 예능, 교양/다큐멘터리, 멜로, 드라마","러브 이세벨, 학려화정 46회., 하늘의 인연 102회, 하늘의 인연 080회, 진짜가 나타났다! 44회"
06,"TV드라마, 예능, 교양/다큐멘터리, 액션/어드벤쳐, 코미디","러브 포 세일, 장야 2  20회., 슈퍼 마리오 브라더스, 애쉬 래드 2: 황금성을 찾아서, 하늘의 인연 108회"
07,"TV드라마, 예능, 액션/어드벤쳐, 교양/다큐멘터리, 키즈","해피엔드, 천하제패 : 반란의 시대, 진짜가 나타났다! 41회, 진짜가 나타났다! 45회, 화요일은 밤이 좋아 52회"
08,"TV드라마, 예능, 교양/다큐멘터리, 키즈, 액션/어드벤쳐","러브 포 세일, 꼬리에꼬리를무는그날이야기 95회, 실화탐사대 229회, TV동물농장 1133회, 연인 파트1 01회"
09,"TV드라마, 예능, 키즈, 교양/다큐멘터리, 액션/어드벤쳐","러브 포 세일, 심야괴담회 83회, 기운 센 말, 타요의 씽씽극장 동요2 03회, 멍뭉이"
10,"TV드라마, 예능, 키즈, 교양/다큐멘터리, 액션/어드벤쳐","러브 포 세일, 은교, 후궁-제왕의첩, 꼬리에꼬리를무는그날이야기 90회, 꼬리에꼬리를무는그날이야기 91회"
11,"TV드라마, 예능, 애니메이션, 액션/어드벤쳐, 교양/다큐멘터리","초대: 스와핑 데이, 밀수, 그것이알고싶다 1366회, 상류사회, 존 윅 3: 파라벨룸"
12,"TV드라마, 예능, 애니메이션, 교양/다큐멘터리, 액션/어드벤쳐","러브 포 세일, 후궁-제왕의첩, 가려진 시간, 밀수, 포청천-무덤의 비밀"
13,"TV드라마, 예능, 애니메이션, 액션/어드벤쳐, 교양/다큐멘터리","후궁-제왕의첩, 아파치 정션: 무법자의 지대, 과학수사대 스모킹 건 16회, 범죄도시3, 킬링 로맨스"
14,"TV드라마, 예능, 액션/어드벤쳐, 드라마, 멜로","러브 포 세일, 해피엔드, 멍뭉이, 범죄도시3, 후궁-제왕의첩"
15,"TV드라마, 예능, 액션/어드벤쳐, 교양/다큐멘터리, 키즈","해피엔드, 가려진 시간, 러브 이세벨, 소방서 옆 경찰서 그리고 국과수 01회, 러브 포 세일"
16,"TV드라마, 예능, 교양/다큐멘터리, 액션/어드벤쳐, 키즈","후궁-제왕의첩, 심야괴담회 84회, 멍뭉이, 러브 포 세일, 보안관"
17,"TV드라마, 예능, 액션/어드벤쳐, 교양/다큐멘터리, 애니메이션","존 윅 3: 파라벨룸, 멍뭉이, 초대: 스와핑 데이, 소방서 옆 경찰서 그리고 국과수 03회, 라이온킹"
18,"TV드라마, 예능, 키즈, 교양/다큐멘터리, 액션/어드벤쳐","잠자는 숲속의 공주, 존 윅4, 상류사회, 러브 포 세일, 심야괴담회 85회"
19,"TV드라마, 예능, 키즈, 액션/어드벤쳐, 교양/다큐멘터리","멍뭉이, 러브 포 세일, 범죄도시3, 신발 벗고 돌싱포맨 101회, 미운우리새끼 357회"
20,"TV드라마, 예능, 액션/어드벤쳐, 키즈, 교양/다큐멘터리","러브 포 세일, 존 윅 3: 파라벨룸, 존 윅4, 범죄도시3, 우리는 해님반"
21,"TV드라마, 예능, 액션/어드벤쳐, 키즈, 교양/다큐멘터리","표적, 존 윅 3: 파라벨룸, 범죄도시3, 존 윅4, 심야괴담회 84회"
22,"TV드라마, 예능, 액션/어드벤쳐, 키즈, 교양/다큐멘터리","러브 이세벨, 러브 포 세일, 적인걸:심해용궁, 웨이트: 감각에 눈 뜰때, 이파라파냐무냐무"
23,"TV드라마, 예능, 액션/어드벤쳐, 교양/다큐멘터리, 멜로","범죄도시3, 육사오, 효심이네 각자도생 02회, 검객, 가려진 시간"
